review_score,review_comment_message,Avaliação,Tempo_de_Resposta
4,,Positiva,21.783055555555556
5,,Positiva,27.086944444444445
5,,Positiva,38.60666666666667
5,Recebi bem antes do prazo estipulado.,Positiva,22.035
5,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,Positiva,34.448055555555555
1,,Negativa,72.66027777777778
5,,Positiva,67.50944444444444
5,,Positiva,21.601666666666667
5,,Positiva,36.09361111111111
4,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,Positiva,40.76305555555555
5,,Positiva,86.60083333333333
5,,Positiva,34.422777777777775
4,"Mas um pouco ,travando...pelo valor ta Boa.
",Positiva,106.87277777777778
4,,Positiva,63.18194444444445
5,"Vendedor confiável, produto ok e entrega antes do prazo.",Positiva,27.00027777777778
2,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",Negativa,69.42916666666666
5,,Positiva,63.97555555555556
1,Péssimo,Negativa,4.176944444444445
4,,Positiva,70.60138888888889
5,,Positiva,451.68638888888887
5,Loja nota 10,Positiva,38.173611111111114
5,,Positiva,914.4297222222223
5,obrigado pela atençao amim dispensada,Positiva,214.98277777777778
5,,Positiva,96.86722222222222
4,,Positiva,20.425
5,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",Positiva,216.46416666666667
5,relógio muito bonito e barato.,Positiva,110.32527777777777
1,Não gostei ! Comprei gato por lebre,Negativa,79.23527777777778
5,,Positiva,19.208333333333332
5,,Positiva,34.64666666666667
1,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",Negativa,36.3775
5,,Positiva,46.04972222222222
4,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",Positiva,66.73388888888888
5,,Positiva,38.56361111111111
5,"Recomendo ,",Positiva,22.912222222222223
5,muito boa ,Positiva,215.6236111111111
5,"Tô completamente apaixonada, loja super responsável e confiável!",Positiva,24.370277777777776
1,Nada de chegar o meu pedido.,Negativa,53.6175
2,,Negativa,40.4875
1,,Negativa,52.478611111111114
5,,Positiva,71.58222222222223
5,Muito bom. muito cheiroso.,Positiva,41.48416666666667
5,,Positiva,72.64722222222223
4,,Positiva,48.21861111111111
5,,Positiva,599.0555555555555
5,"otimo vendedor chegou ate antes do prazo , adorei o produto",Positiva,26.955277777777777
5,,Positiva,37.96083333333333
5,Processo de compra tranquilo e eficiente.,Positiva,40.0175
5,Tomara q dure pois é de pelinho.,Positiva,51.076388888888886
1,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",Negativa,179.10416666666666
5,,Positiva,68.16166666666666
5,,Positiva,23.260277777777777
5,,Positiva,62.72638888888889
5,boa,Positiva,24.98027777777778
4,,Positiva,119.73777777777778
5,MT lindo,Positiva,21.622777777777777
5,,Positiva,23.66
5,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",Positiva,37.20194444444444
5,"Amei achei lindo ,muito delicado adorei",Positiva,22.5125
5,,Positiva,25.6825
4,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",Positiva,63.7275
5,,Positiva,80.55972222222222
5,,Positiva,84.69
5,Recomendo o vendedor... ,Positiva,21.785555555555554
1,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",Negativa,254.1786111111111
5,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",Positiva,12.0625
5,,Positiva,58.47222222222222
4,,Positiva,26.15361111111111
5,,Positiva,26.006666666666668
